2007/2008,Chievo,Bologna,Lecce
2008/2009,Bari,Parma,Livorno
2009/2010,Lecce,Cesena,Brescia
2010/2011,Atalanta,Siena,Novara
2011/2012,Pescara,Torino,Sampdoria
2012/2013,Sassuolo,Verona,Livorno
2013/2014,Palermo,Empoli,Cesena
2014/2015,Carpi,Frosinone,Bologna
2015/2016,Cagliari,Crotone,Trapani
2016/2017,Spal,Verona, Benevento
