2007/2008,West Brom,Stoke,Hull
2008/2009,Wolves,Birmingham,Burnley
2009/2010,Newcastle,West Brom,Blackpool
2010/2011,QPR,Norwich,Swansea
2011/2012,Reading,Southampton,West Ham
2012/2013,Cardiff,Hull,Crystal Palace
2013/2014,Leicester,Burnley,QPR
2014/2015,Bournemouth,Watford,Norwich
2015/2016,Burnley,Middlesbrough,Hull
2016/2017,Newcastle,Brighton,Huddersfield
