"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,20/10/17,AS Saint-Étienne,Montpellier Hérault SC,0,1,A"
"E0,21/10/17,AS Monaco FC,SM Caen,2,0,H"
"E0,21/10/17,Amiens SC,FC Girondins de Bordeaux,1,0,H"
"E0,21/10/17,Angers SCO,Toulouse FC,0,1,A"
"E0,21/10/17,FC Metz,Dijon FCO,1,2,A"
"E0,21/10/17,FC Nantes,EA Guingamp,2,1,H"
"E0,21/10/17,Stade Rennais FC,OSC Lille,1,0,H"
"E0,22/10/17,OGC Nice,RC Strasbourg Alsace,1,2,A"
"E0,22/10/17,ES Troyes AC,Olympique Lyonnais,0,5,A"
"E0,22/10/17,Olympique de Marseille,Paris Saint-Germain,2,2,D"
"E0,27/10/17,Paris Saint-Germain,OGC Nice,3,0,H"
"E0,28/10/17,FC Girondins de Bordeaux,AS Monaco FC,0,2,A"
"E0,28/10/17,RC Strasbourg Alsace,Angers SCO,2,2,D"
"E0,28/10/17,SM Caen,ES Troyes AC,1,0,H"
"E0,28/10/17,Dijon FCO,FC Nantes,1,0,H"
"E0,28/10/17,EA Guingamp,Amiens SC,1,1,D"
"E0,28/10/17,Montpellier Hérault SC,Stade Rennais FC,0,1,A"
"E0,29/10/17,Olympique Lyonnais,FC Metz,2,0,H"
"E0,29/10/17,Toulouse FC,AS Saint-Étienne,0,0,D"
"E0,29/10/17,OSC Lille,Olympique de Marseille,0,1,A"
"E0,04/11/17,Angers SCO,Paris Saint-Germain,0,5,A"
"E0,04/11/17,ES Troyes AC,RC Strasbourg Alsace,3,0,H"
"E0,04/11/17,AS Monaco FC,EA Guingamp,6,0,H"
"E0,04/11/17,Montpellier Hérault SC,Amiens SC,1,1,D"
"E0,04/11/17,FC Nantes,Toulouse FC,2,1,H"
"E0,04/11/17,Stade Rennais FC,FC Girondins de Bordeaux,1,0,H"
"E0,05/11/17,OGC Nice,Dijon FCO,1,0,H"
"E0,05/11/17,Olympique de Marseille,SM Caen,5,0,H"
"E0,05/11/17,FC Metz,OSC Lille,0,3,A"
