2007/2008,Numancia,Malaga,Sp Gijon
2008/2009,Xerez,Zaragoza,Tenerife
2009/2010,Sociedad, Hercules,Levante
2010/2011,Betis,Vallecano,Granada
2011/2012,La Coruna,Celta,Valladolid
2012/2013,Elche,Villareal,Almeria
2013/2014,Eibar,La Coruna,Cordoba
2014/2015,Betis,Sp Gijon,Las Palmas
2015/2016,Alaves,Leganes,Osasuna
2016/2017,Levante,Girona,Getafe
