2007/2008,M'gladbach,Hoffenheim,FC Koln
2008/2009,Freiburg,Mainz,Nurnberg
2009/2010,Nurnberg,Kaiserslautern, St Pauli,
2010/2011,M'gladbach,Hertha, Augsburg,
2011/2012,Greuther,Ein Frankfurt,Fortuna Dusseldorf
2012/2013,Hoffenheim,Hertha,Braunschweig
2013/2014,Hamburg,FC Koln,Padeborn
2014/2015,Hamburg,Ingolstadt,Darmstadt
2015/2016,Ein Frankfurt,Freiburg,RB Leipzig
2016/2017,Wolfsburg,Stuttgart,Hannover
