"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,28/10/17,Bayer Leverkusen,1. FC Köln,2,1,H"
"E0,28/10/17,FC Bayern München,Red Bull Leipzig,2,0,H"
"E0,29/10/17,Werder Bremen,FC Augsburg,0,3,A"
"E0,29/10/17,VfB Stuttgart,SC Freiburg,3,0,H"
"E0,03/11/17,Eintracht Frankfurt,Werder Bremen,2,1,H"
"E0,04/11/17,Red Bull Leipzig,Hannover 96,2,1,H"
"E0,04/11/17,Hamburger SV,VfB Stuttgart,3,1,H"
"E0,04/11/17,SC Freiburg,FC Schalke 04,0,1,A"
"E0,04/11/17,Bor. Mönchengladbach,1. FSV Mainz 05,1,1,D"
"E0,04/11/17,FC Augsburg,Bayer Leverkusen,1,1,D"
"E0,04/11/17,Borussia Dortmund,FC Bayern München,1,3,A"
"E0,05/11/17,1. FC Köln,TSG 1899 Hoffenheim,0,3,A"
"E0,05/11/17,VfL Wolfsburg,Hertha BSC,3,3,D"
"E0,17/11/17,VfB Stuttgart,Borussia Dortmund,2,1,H"
"E0,18/11/17,VfL Wolfsburg,SC Freiburg,3,1,H"
"E0,18/11/17,FC Bayern München,FC Augsburg,3,0,H"
"E0,18/11/17,1. FSV Mainz 05,1. FC Köln,1,0,H"
"E0,18/11/17,TSG 1899 Hoffenheim,Eintracht Frankfurt,1,1,D"
"E0,18/11/17,Bayer Leverkusen,Red Bull Leipzig,2,2,D"
"E0,18/11/17,Hertha BSC,Bor. Mönchengladbach,2,4,A"
"E0,19/11/17,FC Schalke 04,Hamburger SV,2,0,H"
"E0,19/11/17,Werder Bremen,Hannover 96,4,0,H"
"E0,24/11/17,Hannover 96,VfB Stuttgart,1,1,D"
"E0,25/11/17,FC Augsburg,VfL Wolfsburg,2,1,H"
"E0,25/11/17,Borussia Dortmund,FC Schalke 04,4,4,D"
"E0,25/11/17,Eintracht Frankfurt,Bayer Leverkusen,0,1,A"
"E0,25/11/17,SC Freiburg,1. FSV Mainz 05,2,1,H"
"E0,25/11/17,Red Bull Leipzig,Werder Bremen,2,0,H"
"E0,25/11/17,Bor. Mönchengladbach,FC Bayern München,2,1,H"
"E0,26/11/17,Hamburger SV,TSG 1899 Hoffenheim,3,0,H"
"E0,26/11/17,1. FC Köln,Hertha BSC,0,2,A"
"E0,01/12/17,SC Freiburg,Hamburger SV,0,0,D"
"E0,02/12/17,Bayer Leverkusen,Borussia Dortmund,1,1,D"
"E0,02/12/17,FC Bayern München,Hannover 96,3,1,H"
"E0,02/12/17,TSG 1899 Hoffenheim,Red Bull Leipzig,4,0,H"
"E0,02/12/17,1. FSV Mainz 05,FC Augsburg,1,3,A"
"E0,02/12/17,Werder Bremen,VfB Stuttgart,1,0,H"
"E0,02/12/17,FC Schalke 04,1. FC Köln,2,2,D"
"E0,03/12/17,Hertha BSC,Eintracht Frankfurt,1,2,A"
"E0,03/12/17,VfL Wolfsburg,Bor. Mönchengladbach,3,0,H"
"E0,08/12/17,VfB Stuttgart,Bayer Leverkusen,0,2,A"
"E0,09/12/17,Borussia Dortmund,Werder Bremen,1,2,A"
"E0,09/12/17,Eintracht Frankfurt,FC Bayern München,0,1,A"
"E0,09/12/17,Hamburger SV,VfL Wolfsburg,0,0,D"
"E0,09/12/17,Red Bull Leipzig,1. FSV Mainz 05,2,2,D"
"E0,09/12/17,Bor. Mönchengladbach,FC Schalke 04,1,1,D"
"E0,10/12/17,1. FC Köln,SC Freiburg,3,4,A"
"E0,10/12/17,Hannover 96,TSG 1899 Hoffenheim,2,0,H"
"E0,10/12/17,FC Augsburg,Hertha BSC,1,1,D"
"E0,12/12/17,VfL Wolfsburg,Red Bull Leipzig,1,1,D"
"E0,12/12/17,Hamburger SV,Eintracht Frankfurt,1,2,A"
"E0,12/12/17,1. FSV Mainz 05,Borussia Dortmund,0,2,A"
"E0,12/12/17,SC Freiburg,Bor. Mönchengladbach,1,0,H"
"E0,13/12/17,TSG 1899 Hoffenheim,VfB Stuttgart,1,0,H"
"E0,13/12/17,Hertha BSC,Hannover 96,3,1,H"
"E0,13/12/17,FC Schalke 04,FC Augsburg,3,2,H"
"E0,13/12/17,FC Bayern München,1. FC Köln,1,0,H"
"E0,13/12/17,Bayer Leverkusen,Werder Bremen,1,0,H"
"E0,15/12/17,Bor. Mönchengladbach,Hamburger SV,3,1,H"
"E0,16/12/17,Eintracht Frankfurt,FC Schalke 04,2,2,D"
"E0,16/12/17,1. FC Köln,VfL Wolfsburg,1,0,H"
"E0,16/12/17,VfB Stuttgart,FC Bayern München,0,1,A"
"E0,16/12/17,Werder Bremen,1. FSV Mainz 05,2,2,D"
"E0,16/12/17,FC Augsburg,SC Freiburg,3,3,D"
"E0,16/12/17,Borussia Dortmund,TSG 1899 Hoffenheim,2,1,H"
"E0,17/12/17,Hannover 96,Bayer Leverkusen,4,4,D"
"E0,17/12/17,Red Bull Leipzig,Hertha BSC,2,3,A"
"E0,12/01/18,Bayer Leverkusen,FC Bayern München,,,"
"E0,13/01/18,FC Augsburg,Hamburger SV,,,"
"E0,13/01/18,Werder Bremen,TSG 1899 Hoffenheim,,,"
"E0,13/01/18,Eintracht Frankfurt,SC Freiburg,,,"
"E0,13/01/18,VfB Stuttgart,Hertha BSC,,,"
"E0,13/01/18,Hannover 96,1. FSV Mainz 05,,,"
"E0,13/01/18,Red Bull Leipzig,FC Schalke 04,,,"
"E0,14/01/18,1. FC Köln,Bor. Mönchengladbach,,,"
"E0,14/01/18,Borussia Dortmund,VfL Wolfsburg,,,"
"E0,19/01/18,Hertha BSC,Borussia Dortmund,,,"
"E0,20/01/18,SC Freiburg,Red Bull Leipzig,,,"
"E0,20/01/18,TSG 1899 Hoffenheim,Bayer Leverkusen,,,"
"E0,20/01/18,1. FSV Mainz 05,VfB Stuttgart,,,"
"E0,20/01/18,VfL Wolfsburg,Eintracht Frankfurt,,,"
"E0,20/01/18,Bor. Mönchengladbach,FC Augsburg,,,"
"E0,20/01/18,Hamburger SV,1. FC Köln,,,"
"E0,21/01/18,FC Bayern München,Werder Bremen,,,"
"E0,21/01/18,FC Schalke 04,Hannover 96,,,"
"E0,26/01/18,Eintracht Frankfurt,Bor. Mönchengladbach,,,"
"E0,27/01/18,VfB Stuttgart,FC Schalke 04,,,"
"E0,27/01/18,FC Bayern München,TSG 1899 Hoffenheim,,,"
"E0,27/01/18,Borussia Dortmund,SC Freiburg,,,"
"E0,27/01/18,1. FC Köln,FC Augsburg,,,"
"E0,27/01/18,Red Bull Leipzig,Hamburger SV,,,"
"E0,27/01/18,Werder Bremen,Hertha BSC,,,"
"E0,28/01/18,Bayer Leverkusen,1. FSV Mainz 05,,,"
"E0,28/01/18,Hannover 96,VfL Wolfsburg,,,"
"E0,02/02/18,1. FC Köln,Borussia Dortmund,,,"
"E0,03/02/18,SC Freiburg,Bayer Leverkusen,,,"
"E0,03/02/18,Hertha BSC,TSG 1899 Hoffenheim,,,"
"E0,03/02/18,1. FSV Mainz 05,FC Bayern München,,,"
"E0,03/02/18,FC Schalke 04,Werder Bremen,,,"
"E0,03/02/18,VfL Wolfsburg,VfB Stuttgart,,,"
"E0,03/02/18,Bor. Mönchengladbach,Red Bull Leipzig,,,"
"E0,04/02/18,FC Augsburg,Eintracht Frankfurt,,,"
"E0,04/02/18,Hamburger SV,Hannover 96,,,"
"E0,09/02/18,Red Bull Leipzig,FC Augsburg,,,"
"E0,10/02/18,TSG 1899 Hoffenheim,1. FSV Mainz 05,,,"
"E0,10/02/18,Hannover 96,SC Freiburg,,,"
"E0,10/02/18,Eintracht Frankfurt,1. FC Köln,,,"
"E0,10/02/18,Borussia Dortmund,Hamburger SV,,,"
