2007/2008,Le Havre,Nantes,Grenoble
2008/2009,Lens,Montpellier,Boulogne
2009/2010,Caen,Brest,Arles
2010/2011,Evian Thonon Gaillard,Ajaccio,Dijon
2011/2012,Bastia,Reims,Troyes
2012/2013,Monaco,Guingamp,Nantes
2013/2014,Metz,Lens,Caen
2014/2015,Troyes,Ajaccio GFCO,Angers
2015/2016,Nancy,Dijon,Metz
2016/2017,Strasbourg,Amiens,Troyes
